,Match_Id,cum_run_conceded,cum_ball_thrown,cum_wicket,Player_Id
5864,829782,1213,929,43.0,80
5923,829792,1256,953,45.0,80
6065,829816,1275,965,45.0,80
6108,829824,1311,989,47.0,80
6238,980922,1339,1013,49.0,80
6310,980934,1358,1037,51.0,80
6359,980942,1367,1043,51.0,80
6407,980950,1406,1067,52.0,80
6431,980954,1425,1091,55.0,80
6465,980960,1450,1109,55.0,80
6501,980966,1478,1133,56.0,80
6541,980972,1502,1145,56.0,80
6587,980980,1519,1169,58.0,80
6660,980992,1549,1193,59.0,80
6746,981006,1578,1211,60.0,80
6782,981012,1612,1235,61.0,80
6821,981018,1653,1259,63.0,80
6845,981022,1667,1283,67.0,80
45,335990,0,0,0.0,81
127,335997,41,24,0.0,81
197,336003,56,36,0.0,81
248,336007,81,48,0.0,81
341,336015,108,72,3.0,81
366,336017,123,90,3.0,81
416,336021,148,108,3.0,81
562,336034,159,120,4.0,81
699,392187,182,138,5.0,81
733,392190,207,156,5.0,81
797,392196,219,162,5.0,81
821,392199,223,168,5.0,81
1002,392213,251,188,5.0,81
1062,392218,283,212,5.0,81
1127,392223,292,218,5.0,81
1162,392226,322,242,6.0,81
1201,392229,355,266,8.0,81
1376,392243,385,284,10.0,81
1389,392244,423,308,12.0,81
1476,419117,453,332,14.0,81
1509,419120,472,344,14.0,81
1558,419124,497,368,14.0,81
1600,419128,522,392,17.0,81
1659,419133,562,416,21.0,81
1719,419138,591,440,22.0,81
1762,419141,622,457,23.0,81
1808,419145,646,475,24.0,81
1872,419150,681,499,24.0,81
1907,419153,720,519,25.0,81
1945,419156,743,537,28.0,81
1982,419159,762,555,29.0,81
2016,419162,798,579,30.0,81
2080,419167,824,597,30.0,81
2150,501205,849,609,30.0,81
2235,501212,875,631,31.0,81
2272,501215,890,649,32.0,81
2332,501220,938,673,32.0,81
2370,501224,954,691,32.0,81
2446,501230,975,715,33.0,81
2492,501234,998,733,33.0,81
2541,501238,1023,757,36.0,81
2600,501243,1064,781,37.0,81
2650,501247,1089,805,39.0,81
2709,501252,1117,829,41.0,81
2794,501259,1135,847,42.0,81
2875,501266,1163,865,42.0,81
3047,548315,1180,877,42.0,81
3109,548320,1205,901,42.0,81
3146,548323,1223,925,42.0,81
3215,548329,1273,952,42.0,81
3246,548332,1324,976,42.0,81
3293,548336,1357,1001,42.0,81
3354,548341,1397,1025,42.0,81
